post_id,platform,post_title,post_date,likes,comments,shares,impressions,content_type
34,Instagram,Post 34: campaign content,2025-10-30,1167,67,2,12837,Image
35,X,Post 35: campaign content,2025-12-25,1869,96,104,24297,Image
36,LinkedIn,Post 36: campaign content,2025-06-25,2026,48,103,48624,Video
37,YouTube,Post 37: campaign content,2025-07-31,634,154,120,7608,Text
38,Instagram,Post 38: campaign content,2025-04-18,1014,171,57,28392,Carousel
39,LinkedIn,Post 39: campaign content,2025-03-27,262,166,34,2882,Text
40,Instagram,Post 40: campaign content,2025-07-14,1673,123,39,38479,Text
41,YouTube,Post 41: campaign content,2025-01-07,1983,69,19,47592,Carousel
42,LinkedIn,Post 42: campaign content,2025-02-19,1878,99,87,33804,Carousel
43,X,Post 43: campaign content,2025-06-21,1808,158,118,50624,Carousel
44,YouTube,Post 44: campaign content,2025-08-25,1133,27,33,31724,Image
45,Instagram,Post 45: campaign content,2025-06-10,2451,51,67,44118,Video
46,LinkedIn,Post 46: campaign content,2025-09-26,74,19,2,1554,Video
47,X,Post 47: campaign content,2025-04-09,1866,91,29,31722,Video
48,Instagram,Post 48: campaign content,2025-11-03,137,160,12,1233,Video
49,Instagram,Post 49: campaign content,2025-07-12,531,24,110,14337,Image
50,X,Post 50: campaign content,2025-08-28,494,180,24,7904,Video
51,X,Post 51: campaign content,2025-05-12,1897,72,99,39837,Image
52,YouTube,Post 52: campaign content,2025-07-18,343,72,100,3087,Carousel
53,Instagram,Post 53: campaign content,2025-08-14,286,68,105,4576,Video
54,Instagram,Post 54: campaign content,2025-11-27,2054,53,79,41080,Text
55,Instagram,Post 55: campaign content,2025-11-11,484,38,70,10164,Video
56,LinkedIn,Post 56: campaign content,2025-02-06,1848,68,14,16632,Carousel
57,Instagram,Post 57: campaign content,2025-12-01,1866,6,115,42918,Video
58,Instagram,Post 58: campaign content,2025-12-25,194,172,50,3104,Carousel
59,YouTube,Post 59: campaign content,2025-09-02,1642,149,1,39408,Text
60,LinkedIn,Post 60: campaign content,2025-07-16,1694,19,70,25410,Text
61,X,Post 61: campaign content,2025-12-16,536,147,69,10184,Carousel
62,LinkedIn,Post 62: campaign content,2025-07-07,1680,16,81,47040,Carousel
63,Instagram,Post 63: campaign content,2025-04-01,369,119,98,6273,Video
64,YouTube,Post 64: campaign content,2025-02-24,1613,171,25,27421,Carousel
65,YouTube,Post 65: campaign content,2025-04-08,2032,23,114,56896,Image
66,Instagram,Post 66: campaign content,2025-09-08,186,51,4,4836,Text
67,YouTube,Post 67: campaign content,2025-10-01,298,140,83,5066,Text
68,X,Post 68: campaign content,2025-01-22,107,11,44,963,Text
69,YouTube,Post 69: campaign content,2025-12-14,524,56,104,14672,Image
70,LinkedIn,Post 70: campaign content,2025-03-14,2413,61,119,24130,Text
71,LinkedIn,Post 71: campaign content,2025-05-05,118,122,117,3186,Image
72,X,Post 72: campaign content,2025-02-19,98,46,81,882,Text
73,LinkedIn,Post 73: campaign content,2025-09-12,739,153,9,8129,Image
74,YouTube,Post 74: campaign content,2025-06-16,298,53,55,5364,Video
75,Instagram,Post 75: campaign content,2025-01-24,2399,141,18,43182,Image
76,Instagram,Post 76: campaign content,2025-08-01,1414,18,16,22624,Image
77,Instagram,Post 77: campaign content,2025-10-25,1555,143,22,34210,Video
78,YouTube,Post 78: campaign content,2025-03-22,586,27,102,16408,Video
79,Instagram,Post 79: campaign content,2025-02-15,2034,22,1,16272,Carousel
80,Instagram,Post 80: campaign content,2025-04-16,1744,179,104,40112,Image
81,Instagram,Post 81: campaign content,2025-03-31,1149,135,58,24129,Video
82,LinkedIn,Post 82: campaign content,2025-11-18,2482,48,92,57086,Carousel
83,Instagram,Post 83: campaign content,2025-04-09,1464,109,1,36600,Video
84,Instagram,Post 84: campaign content,2025-08-26,2211,26,80,42009,Image
85,Instagram,Post 85: campaign content,2025-12-17,1172,15,25,12892,Text
86,LinkedIn,Post 86: campaign content,2025-11-27,2077,47,21,18693,Carousel
87,X,Post 87: campaign content,2025-11-12,1207,55,56,19312,Text
88,Instagram,Post 88: campaign content,2025-03-22,217,28,95,1953,Video
89,Instagram,Post 89: campaign content,2025-08-16,2026,133,15,20260,Carousel
90,Instagram,Post 90: campaign content,2025-02-26,1756,52,96,31608,Carousel
91,Instagram,Post 91: campaign content,2025-07-12,972,27,31,20412,Image
92,LinkedIn,Post 92: campaign content,2025-08-12,341,122,75,7843,Image
93,YouTube,Post 93: campaign content,2025-07-11,925,158,59,12025,Image
94,X,Post 94: campaign content,2025-04-14,1914,51,81,36366,Carousel
95,LinkedIn,Post 95: campaign content,2025-05-24,561,10,89,14586,Image
96,Instagram,Post 96: campaign content,2025-06-25,495,121,59,10395,Image
97,Instagram,Post 97: campaign content,2025-10-23,1248,156,21,34944,Image
98,YouTube,Post 98: campaign content,2025-04-21,394,107,110,9456,Text
99,Instagram,Post 99: campaign content,2025-05-07,1935,73,2,40635,Carousel
100,Instagram,Post 100: campaign content,2025-10-21,1818,150,29,47268,Video
101,LinkedIn,Post 101: campaign content,2025-08-06,1751,13,6,40273,Text
102,YouTube,Post 102: campaign content,2025-09-11,2003,180,106,22033,Image
103,YouTube,Post 103: campaign content,2025-04-22,380,144,97,3040,Image
104,LinkedIn,Post 104: campaign content,2025-01-09,1508,77,31,42224,Text
105,LinkedIn,Post 105: campaign content,2025-08-21,1288,43,91,28336,Text
106,YouTube,Post 106: campaign content,2025-12-27,607,105,24,11533,Video
107,LinkedIn,Post 107: campaign content,2025-06-01,329,100,115,5922,Text
108,Instagram,Post 108: campaign content,2025-12-17,1145,180,79,28625,Video
109,LinkedIn,Post 109: campaign content,2025-02-26,1415,16,66,26885,Text
110,X,Post 110: campaign content,2025-07-07,1537,121,80,13833,Image
111,Instagram,Post 111: campaign content,2025-06-21,2328,19,72,32592,Image
112,Instagram,Post 112: campaign content,2025-04-26,2250,31,84,51750,Carousel
113,X,Post 113: campaign content,2025-01-28,1484,70,65,31164,Video
114,LinkedIn,Post 114: campaign content,2025-08-29,1567,90,58,36041,Carousel
115,Instagram,Post 115: campaign content,2025-08-23,1891,160,48,18910,Video
116,X,Post 116: campaign content,2025-02-09,368,102,115,4784,Video
117,YouTube,Post 117: campaign content,2025-03-19,714,72,15,8568,Image
118,YouTube,Post 118: campaign content,2025-12-16,2172,162,3,36924,Image
119,LinkedIn,Post 119: campaign content,2025-05-30,1981,90,54,43582,Image
120,X,Post 120: campaign content,2025-07-30,297,7,112,4455,Carousel
