transaction_id,transaction_type,amount,category,transaction_date,payment_method,description
108,Expense,232.69,Groceries,2025-06-23,Card,Groceries transaction
109,Expense,289.06,Groceries,2025-02-16,Cash,Groceries transaction
110,Expense,200.44,Healthcare,2025-02-02,Bank Transfer,Healthcare transaction
111,Expense,277.19,Transport,2025-07-16,Direct Debit,Transport transaction
112,Income,642.13,Freelance,2025-05-27,Card,Freelance transaction
113,Expense,202.03,Groceries,2025-04-14,Bank Transfer,Groceries transaction
114,Expense,272.99,Transport,2025-09-22,Cash,Transport transaction
115,Income,277.11,Freelance,2025-01-19,Bank Transfer,Freelance transaction
116,Expense,439.24,Transport,2025-02-14,Bank Transfer,Transport transaction
117,Expense,182.65,Entertainment,2025-10-28,Cash,Entertainment transaction
118,Expense,319.0,Savings,2025-02-16,Bank Transfer,Savings transaction
119,Expense,161.86,Savings,2025-05-22,Cash,Savings transaction
120,Income,872.29,Freelance,2025-08-21,Direct Debit,Freelance transaction
121,Income,153.49,Freelance,2025-03-31,Direct Debit,Freelance transaction
122,Expense,39.99,Savings,2025-05-31,Bank Transfer,Savings transaction
123,Expense,430.87,Rent,2025-10-03,Bank Transfer,Rent transaction
124,Income,256.92,Healthcare,2025-05-05,Bank Transfer,Healthcare transaction
125,Expense,404.26,Healthcare,2025-01-15,Direct Debit,Healthcare transaction
126,Expense,177.14,Rent,2025-04-23,Cash,Rent transaction
127,Expense,164.07,Utilities,2025-10-02,Card,Utilities transaction
128,Expense,49.11,Dining,2025-12-11,Bank Transfer,Dining transaction
129,Expense,86.89,Rent,2025-06-10,Bank Transfer,Rent transaction
130,Expense,126.93,Transport,2025-12-16,Cash,Transport transaction
131,Expense,111.81,Healthcare,2025-05-04,Bank Transfer,Healthcare transaction
132,Expense,377.04,Transport,2025-11-13,Bank Transfer,Transport transaction
133,Expense,60.99,Groceries,2025-02-10,Direct Debit,Groceries transaction
134,Income,154.97,Freelance,2025-10-05,Card,Freelance transaction
135,Expense,147.41,Healthcare,2025-10-22,Bank Transfer,Healthcare transaction
136,Expense,345.8,Healthcare,2025-09-19,Bank Transfer,Healthcare transaction
137,Expense,262.89,Entertainment,2025-01-28,Direct Debit,Entertainment transaction
138,Expense,22.39,Healthcare,2025-06-27,Direct Debit,Healthcare transaction
139,Expense,61.2,Groceries,2025-09-23,Direct Debit,Groceries transaction
140,Expense,13.22,Utilities,2025-04-18,Direct Debit,Utilities transaction
141,Income,225.56,Freelance,2025-07-05,Bank Transfer,Freelance transaction
142,Expense,112.82,Groceries,2025-08-30,Bank Transfer,Groceries transaction
143,Expense,195.38,Utilities,2025-08-03,Bank Transfer,Utilities transaction
144,Expense,131.6,Utilities,2025-04-03,Cash,Utilities transaction
145,Income,664.51,Freelance,2025-02-21,Bank Transfer,Freelance transaction
146,Expense,386.49,Transport,2025-04-11,Cash,Transport transaction
147,Expense,12.31,Groceries,2025-08-04,Direct Debit,Groceries transaction
148,Income,383.43,Groceries,2025-09-22,Bank Transfer,Groceries transaction
149,Expense,256.47,Healthcare,2025-10-18,Card,Healthcare transaction
150,Expense,80.2,Entertainment,2025-04-21,Bank Transfer,Entertainment transaction
151,Expense,50.57,Healthcare,2025-06-21,Bank Transfer,Healthcare transaction
152,Expense,254.41,Utilities,2025-05-12,Bank Transfer,Utilities transaction
153,Income,2776.47,Salary,2025-06-29,Cash,Salary transaction
154,Income,581.92,Freelance,2025-11-29,Cash,Freelance transaction
155,Expense,305.55,Dining,2025-09-07,Direct Debit,Dining transaction
156,Expense,134.64,Rent,2025-11-20,Cash,Rent transaction
157,Expense,418.43,Groceries,2025-08-04,Direct Debit,Groceries transaction
158,Expense,159.88,Rent,2025-06-10,Bank Transfer,Rent transaction
159,Expense,275.58,Dining,2025-07-22,Bank Transfer,Dining transaction
160,Expense,422.94,Healthcare,2025-10-28,Direct Debit,Healthcare transaction
161,Expense,385.56,Entertainment,2025-03-06,Cash,Entertainment transaction
162,Expense,317.71,Dining,2025-02-10,Cash,Dining transaction
163,Expense,50.23,Groceries,2025-08-31,Card,Groceries transaction
164,Income,3279.31,Salary,2025-09-26,Card,Salary transaction
165,Expense,76.63,Rent,2025-12-02,Direct Debit,Rent transaction
166,Expense,334.02,Dining,2025-08-15,Cash,Dining transaction
167,Expense,83.41,Groceries,2025-01-18,Bank Transfer,Groceries transaction
168,Expense,214.5,Utilities,2025-10-04,Bank Transfer,Utilities transaction
169,Expense,436.54,Savings,2025-12-24,Cash,Savings transaction
170,Income,598.19,Freelance,2025-11-20,Direct Debit,Freelance transaction
171,Expense,243.93,Savings,2025-06-27,Direct Debit,Savings transaction
172,Expense,47.58,Savings,2025-06-07,Bank Transfer,Savings transaction
173,Expense,142.18,Entertainment,2025-01-01,Cash,Entertainment transaction
174,Expense,244.51,Utilities,2025-12-19,Direct Debit,Utilities transaction
175,Expense,346.51,Healthcare,2025-05-30,Cash,Healthcare transaction
176,Income,2967.5,Salary,2025-04-07,Direct Debit,Salary transaction
177,Expense,118.45,Savings,2025-11-27,Direct Debit,Savings transaction
178,Expense,43.01,Entertainment,2025-11-17,Cash,Entertainment transaction
179,Expense,410.2,Savings,2025-12-22,Bank Transfer,Savings transaction
180,Expense,243.12,Dining,2025-05-18,Direct Debit,Dining transaction
